år,uke,attributt,verdi
2002,24,Laks_omsatt,13619.662907928485
2002,24,Uke_omsatt,15488.21
2002,24,Ørret_omsatt,1941.6160579438497
2002,25,Laks_omsatt,14511.875912506961
2002,25,Uke_omsatt,16502.83
2002,25,Ørret_omsatt,2068.80974170143
2002,26,Laks_omsatt,17230.117296830991
2002,26,Uke_omsatt,19594
2002,26,Ørret_omsatt,2456.3216174982
2002,27,Laks_omsatt,15437.498609784461
2002,27,Uke_omsatt,16898
2002,27,Ørret_omsatt,2157.777655807849
2002,28,Laks_omsatt,16849.383838893082
2002,28,Uke_omsatt,18443.46
2002,28,Ørret_omsatt,2355.1240314703414
2002,29,Laks_omsatt,19121.230376521191
2002,29,Uke_omsatt,20930.24
2002,29,Ørret_omsatt,2672.6715707595968
2002,30,Laks_omsatt,18130.33627709424
2002,30,Uke_omsatt,19845.6
2002,30,Ørret_omsatt,2534.1692653627792
2002,31,Laks_omsatt,16648.956860020233
2002,31,Uke_omsatt,18640.39
2002,31,Ørret_omsatt,2148.1350340996214
2002,32,Laks_omsatt,20636.371062562936
2002,32,Uke_omsatt,23953.15
2002,32,Ørret_omsatt,2337.5907970223952
2002,33,Laks_omsatt,16667.704628677286
2002,33,Uke_omsatt,19346.62
2002,33,Ørret_omsatt,1888.0389788186271
2002,34,Laks_omsatt,18221.199328647526
2002,34,Uke_omsatt,21149.8
2002,34,Ørret_omsatt,2064.0115324650096
2002,35,Laks_omsatt,16670.306451010005
2002,35,Uke_omsatt,19349.64
2002,35,Ørret_omsatt,1888.3337009828108
2002,36,Laks_omsatt,16333.421033325649
2002,36,Uke_omsatt,17834.89
2002,36,Ørret_omsatt,1705.842768969055
2002,37,Laks_omsatt,15179.185494718926
2002,37,Uke_omsatt,16574.55
2002,37,Ørret_omsatt,1585.2958031373366
2002,38,Laks_omsatt,17402.101337617314
2002,38,Uke_omsatt,19001.81
2002,38,Ørret_omsatt,1817.4544494428553
2002,39,Laks_omsatt,16391.501882825338
2002,39,Uke_omsatt,17898.31
2002,39,Ørret_omsatt,1711.9086627541033
2002,40,Laks_omsatt,16684.683293012207
2002,40,Uke_omsatt,18702.23
2002,40,Ørret_omsatt,1738.1454514392647
2002,41,Laks_omsatt,15807.828911481734
2002,41,Uke_omsatt,17837.8
2002,41,Ørret_omsatt,1645.7603809186808
2002,42,Laks_omsatt,18726.1155229846
2002,42,Uke_omsatt,21130.84
2002,42,Ørret_omsatt,1949.5845500864286
2002,43,Laks_omsatt,16383.813528475846
2002,43,Uke_omsatt,18487.75
2002,43,Ørret_omsatt,1705.7264058532635
2002,44,Laks_omsatt,18507.593992612448
2002,44,Uke_omsatt,20855.21
2002,44,Ørret_omsatt,1922.0755239054693
2002,45,Laks_omsatt,15978.020268525028
2002,45,Uke_omsatt,17905.06
2002,45,Ørret_omsatt,1642.9569588777472
2002,46,Laks_omsatt,13825.934053768657
2002,46,Uke_omsatt,15493.42
2002,46,Ørret_omsatt,1421.6664007725003
2002,47,Laks_omsatt,14553.201483112232
2002,47,Uke_omsatt,16308.4
2002,47,Ørret_omsatt,1496.4484491066687
2002,48,Laks_omsatt,12512.465767550313
2002,48,Uke_omsatt,14021.54
2002,48,Ørret_omsatt,1286.6076247263447
2002,49,Laks_omsatt,11623.245879522781
2002,49,Uke_omsatt,12322.75
2002,49,Ørret_omsatt,1638.2404050968514
2002,50,Laks_omsatt,12400.886327711192
2002,50,Uke_omsatt,13147.19
2002,50,Ørret_omsatt,1747.8450728518612
2002,51,Laks_omsatt,15952.646169613516
2002,51,Uke_omsatt,16912.7
2002,51,Ørret_omsatt,2248.4484793801321
2002,52,Laks_omsatt,3679.2851786097513
2002,52,Uke_omsatt,3900.71
2002,52,Ørret_omsatt,518.57748721392056
2003,1,Laks_omsatt,3180.5567173853233
2003,1,Uke_omsatt,3791.104
2003,1,Ørret_omsatt,452.41196357329841
2003,2,Laks_omsatt,9444.357518337516
2003,2,Uke_omsatt,11257.319
2003,2,Ørret_omsatt,1343.39384869447
2003,3,Laks_omsatt,7344.7308757450073
2003,3,Uke_omsatt,8754.643
2003,3,Ørret_omsatt,1044.7366334485239
2003,4,Laks_omsatt,7814.4411641621928
